Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,1.38431,1.38431,1.38431,1.38431,0
02.01.2016 00:00:00.000,1.38431,1.38431,1.38431,1.38431,0
03.01.2016 00:00:00.000,1.38193,1.38780,1.38185,1.38753,3860.3201
04.01.2016 00:00:00.000,1.38753,1.39839,1.38508,1.39375,116360.9688
05.01.2016 00:00:00.000,1.39374,1.40201,1.38983,1.39886,128118.0781
06.01.2016 00:00:00.000,1.39886,1.41099,1.39798,1.40691,147586.375
07.01.2016 00:00:00.000,1.40691,1.41704,1.40510,1.41064,163317.0313
08.01.2016 00:00:00.000,1.41064,1.41789,1.40593,1.41735,140963.9844
09.01.2016 00:00:00.000,1.41735,1.41735,1.41735,1.41735,0
10.01.2016 00:00:00.000,1.41692,1.41905,1.41610,1.41854,5517.1899
11.01.2016 00:00:00.000,1.41855,1.42461,1.40654,1.42252,149084.3906
12.01.2016 00:00:00.000,1.42252,1.43166,1.41770,1.42572,165673.7969
13.01.2016 00:00:00.000,1.42572,1.43809,1.41880,1.43549,162181.125
14.01.2016 00:00:00.000,1.43550,1.43980,1.43350,1.43448,169099.3125
15.01.2016 00:00:00.000,1.43448,1.45547,1.43447,1.45429,168033.2344
16.01.2016 00:00:00.000,1.45429,1.45429,1.45429,1.45429,0
17.01.2016 00:00:00.000,1.46076,1.46076,1.45645,1.45814,4056.3101
18.01.2016 00:00:00.000,1.45814,1.45859,1.44871,1.45467,141848.9219
19.01.2016 00:00:00.000,1.45465,1.45907,1.44325,1.45686,175165.4375
20.01.2016 00:00:00.000,1.45686,1.46906,1.44717,1.44722,215351.6563
21.01.2016 00:00:00.000,1.44722,1.45413,1.42286,1.42716,218941.5156
22.01.2016 00:00:00.000,1.42716,1.43012,1.41158,1.41209,183257.2344
23.01.2016 00:00:00.000,1.41209,1.41209,1.41209,1.41209,0
24.01.2016 00:00:00.000,1.41493,1.41507,1.41349,1.41456,6600.9902
25.01.2016 00:00:00.000,1.41456,1.43006,1.41276,1.43005,171826.9063
26.01.2016 00:00:00.000,1.43007,1.43263,1.40454,1.41223,187764.875
27.01.2016 00:00:00.000,1.41222,1.41573,1.40284,1.40991,200403.0156
28.01.2016 00:00:00.000,1.40991,1.41237,1.39485,1.40379,199189.3281
29.01.2016 00:00:00.000,1.40378,1.41098,1.39683,1.39783,180488.5625
30.01.2016 00:00:00.000,1.39783,1.39783,1.39783,1.39783,0
31.01.2016 00:00:00.000,1.39759,1.39903,1.39723,1.39750,5705.1099
01.02.2016 00:00:00.000,1.39749,1.40627,1.39086,1.39561,187355.1875
