Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,86.970,86.970,86.970,86.970,0
02.01.2016 00:00:00.000,86.970,86.970,86.970,86.970,0
03.01.2016 00:00:00.000,87.042,87.043,86.712,86.725,4854.9502
04.01.2016 00:00:00.000,86.726,86.895,85.191,85.729,136251.2031
05.01.2016 00:00:00.000,85.730,86.118,84.842,85.161,157513.0938
06.01.2016 00:00:00.000,85.158,85.216,83.921,84.323,184657.0313
07.01.2016 00:00:00.000,84.328,84.431,82.917,83.332,211866.2656
08.01.2016 00:00:00.000,83.334,84.431,82.735,82.762,177714.9219
09.01.2016 00:00:00.000,82.762,82.762,82.762,82.762,0
10.01.2016 00:00:00.000,82.763,82.763,82.309,82.536,10000.0195
11.01.2016 00:00:00.000,82.540,83.902,82.284,82.748,179134.6406
12.01.2016 00:00:00.000,82.747,83.199,82.127,82.663,196767.6563
13.01.2016 00:00:00.000,82.662,83.424,81.758,81.813,186153.7031
14.01.2016 00:00:00.000,81.812,82.462,81.576,82.432,200546.6563
15.01.2016 00:00:00.000,82.432,82.443,80.159,80.548,204415.5781
16.01.2016 00:00:00.000,80.548,80.548,80.548,80.548,0
17.01.2016 00:00:00.000,80.001,80.329,79.984,80.251,6557.4102
18.01.2016 00:00:00.000,80.252,81.063,80.205,80.723,148107.8438
19.01.2016 00:00:00.000,80.723,81.816,80.497,80.711,196290.3438
20.01.2016 00:00:00.000,80.707,80.998,78.954,80.994,238255.7031
21.01.2016 00:00:00.000,80.995,82.704,80.127,82.644,254413.8125
22.01.2016 00:00:00.000,82.644,84.158,82.222,84.158,204685.1875
23.01.2016 00:00:00.000,84.158,84.158,84.158,84.158,0
24.01.2016 00:00:00.000,83.906,84.020,83.835,83.835,5791.52
25.01.2016 00:00:00.000,83.829,84.123,82.691,82.696,186707.9844
26.01.2016 00:00:00.000,82.700,84.452,82.201,83.845,189623.625
27.01.2016 00:00:00.000,83.842,84.821,83.431,84.041,208587.9531
28.01.2016 00:00:00.000,84.043,85.313,83.950,84.733,205878.625
29.01.2016 00:00:00.000,84.738,86.958,84.403,86.687,216524.6875
30.01.2016 00:00:00.000,86.687,86.687,86.687,86.687,0
31.01.2016 00:00:00.000,86.873,86.933,86.705,86.850,7301.1699
01.02.2016 00:00:00.000,86.848,87.052,85.860,86.611,190723.8594
02.02.2016 00:00:00.000,86.612,86.693,85.179,85.206,198011.9375
03.02.2016 00:00:00.000,85.206,86.209,84.492,85.671,253957.5469
04.02.2016 00:00:00.000,85.671,86.218,84.766,84.945,234880.6406
05.02.2016 00:00:00.000,84.944,85.319,83.950,83.996,204946.7344
06.02.2016 00:00:00.000,83.996,83.996,83.996,83.996,0
07.02.2016 00:00:00.000,84.087,84.334,84.071,84.232,11324.2402
08.02.2016 00:00:00.000,84.233,84.727,82.585,83.048,228312.3125
09.02.2016 00:00:00.000,83.045,83.693,81.922,82.976,270993.5
10.02.2016 00:00:00.000,82.977,83.224,81.281,81.336,283371.2188
11.02.2016 00:00:00.000,81.335,81.562,79.288,80.837,285044.5625
12.02.2016 00:00:00.000,80.837,82.059,80.308,81.808,235098.2188
13.02.2016 00:00:00.000,81.808,81.808,81.808,81.808,0
14.02.2016 00:00:00.000,81.898,82.184,81.782,82.161,7049.1299
15.02.2016 00:00:00.000,82.159,82.998,81.892,82.740,158086.7188
16.02.2016 00:00:00.000,82.739,83.517,81.709,82.357,211789.2656
17.02.2016 00:00:00.000,82.355,83.646,81.598,83.560,216729.1719
18.02.2016 00:00:00.000,83.560,83.587,82.297,82.445,196373.375
19.02.2016 00:00:00.000,82.446,82.490,81.373,81.815,178140.375
20.02.2016 00:00:00.000,81.815,81.815,81.815,81.815,0
21.02.2016 00:00:00.000,81.757,81.807,81.547,81.609,7380.9399
22.02.2016 00:00:00.000,81.610,82.796,81.596,82.441,170802.2031
23.02.2016 00:00:00.000,82.439,82.457,81.041,81.124,195642.5938
24.02.2016 00:00:00.000,81.125,81.942,80.367,81.786,204254.0469
25.02.2016 00:00:00.000,81.786,83.605,81.567,83.548,190531.625
26.02.2016 00:00:00.000,83.548,84.388,83.147,84.378,162079.7031
27.02.2016 00:00:00.000,84.378,84.378,84.378,84.378,0
28.02.2016 00:00:00.000,84.371,84.374,83.813,83.927,7938.6899
29.02.2016 00:00:00.000,83.927,84.049,82.829,83.040,190796
01.03.2016 00:00:00.000,83.040,85.264,82.818,84.843,185288.625
02.03.2016 00:00:00.000,84.845,85.221,84.271,84.514,175934.2969
03.03.2016 00:00:00.000,84.517,85.228,84.428,84.802,150544.9531
04.03.2016 00:00:00.000,84.803,85.767,84.388,85.513,154614.5625
05.03.2016 00:00:00.000,85.513,85.513,85.513,85.513,0
06.03.2016 00:00:00.000,85.493,85.501,85.340,85.358,6907.27
07.03.2016 00:00:00.000,85.360,85.663,84.851,85.399,139524.4063
08.03.2016 00:00:00.000,85.395,85.420,83.845,83.993,162932.0313
09.03.2016 00:00:00.000,83.989,85.640,83.658,85.468,162986.1875
10.03.2016 00:00:00.000,85.468,86.151,84.113,84.618,196024.5938
11.03.2016 00:00:00.000,84.618,86.229,84.553,86.186,147214.3438
12.03.2016 00:00:00.000,86.186,86.186,86.186,86.186,0
13.03.2016 00:00:00.000,86.213,86.226,85.850,85.963,9105.2803
14.03.2016 00:00:00.000,85.962,86.242,85.387,85.750,120452.4609
15.03.2016 00:00:00.000,85.750,85.888,84.174,84.687,146887.1563
16.03.2016 00:00:00.000,84.687,86.078,84.631,85.992,152973.2656
17.03.2016 00:00:00.000,85.991,86.245,84.999,85.744,186357.0625
18.03.2016 00:00:00.000,85.744,86.293,85.370,85.802,143847.2969
19.03.2016 00:00:00.000,85.802,85.802,85.802,85.802,0
20.03.2016 00:00:00.000,85.854,85.854,85.377,85.419,10750.8799
21.03.2016 00:00:00.000,85.422,85.715,85.087,85.658,121231.3438
22.03.2016 00:00:00.000,85.658,86.216,84.813,86.017,149590.4219
23.03.2016 00:00:00.000,86.018,86.302,85.013,85.122,144160.0938
24.03.2016 00:00:00.000,85.123,85.371,84.572,85.219,131969.6563
25.03.2016 00:00:00.000,85.219,85.628,85.172,85.345,51670.4805
26.03.2016 00:00:00.000,85.345,85.345,85.345,85.345,0
27.03.2016 00:00:00.000,85.335,85.515,85.222,85.488,6196.0601
28.03.2016 00:00:00.000,85.488,86.120,85.398,86.042,88498.6484
