Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,9.17998,9.17998,9.17998,9.17998,0
02.01.2016 00:00:00.000,9.17998,9.17998,9.17998,9.17998,0
03.01.2016 00:00:00.000,9.18884,9.18884,9.16644,9.16774,388.85
04.01.2016 00:00:00.000,9.16764,9.21784,9.14632,9.20614,62067.5117
05.01.2016 00:00:00.000,9.20614,9.25634,9.19756,9.23855,57688.1289
06.01.2016 00:00:00.000,9.23874,9.26890,9.21060,9.25974,69231.5
07.01.2016 00:00:00.000,9.25969,9.29066,9.24184,9.24624,71138.5938
08.01.2016 00:00:00.000,9.24624,9.29225,9.23213,9.28804,55731.2383
09.01.2016 00:00:00.000,9.28804,9.28804,9.28804,9.28804,0
10.01.2016 00:00:00.000,9.28454,9.29404,9.28394,9.29094,1530.92
11.01.2016 00:00:00.000,9.29094,9.29424,9.25856,9.27234,74476.7578
12.01.2016 00:00:00.000,9.27204,9.28722,9.24271,9.25454,114103.1797
13.01.2016 00:00:00.000,9.25564,9.28016,9.23508,9.27934,116289.0625
14.01.2016 00:00:00.000,9.27945,9.32024,9.25388,9.28635,135264.9375
15.01.2016 00:00:00.000,9.28635,9.39935,9.28214,9.37344,121537.75
16.01.2016 00:00:00.000,9.37344,9.37344,9.37344,9.37344,0
17.01.2016 00:00:00.000,9.38044,9.38315,9.36584,9.36974,1089.3
18.01.2016 00:00:00.000,9.36984,9.37564,9.33612,9.36105,111020.7734
19.01.2016 00:00:00.000,9.36105,9.36294,9.29143,9.31244,123928.5234
20.01.2016 00:00:00.000,9.31244,9.38946,9.31124,9.35254,123084.5703
21.01.2016 00:00:00.000,9.35254,9.38028,9.28011,9.30084,139000.5156
22.01.2016 00:00:00.000,9.30084,9.30364,9.26296,9.27247,101653.0938
23.01.2016 00:00:00.000,9.27247,9.27247,9.27247,9.27247,0
24.01.2016 00:00:00.000,9.28388,9.30711,9.26374,9.26604,947.14
25.01.2016 00:00:00.000,9.26615,9.30069,9.26114,9.29544,84232.1406
26.01.2016 00:00:00.000,9.29554,9.31979,9.26244,9.28594,102442.9688
27.01.2016 00:00:00.000,9.28594,9.30814,9.25198,9.27524,102491.4531
28.01.2016 00:00:00.000,9.27524,9.32295,9.25455,9.30375,99416.8828
29.01.2016 00:00:00.000,9.30394,9.35399,9.27169,9.29524,94289.4609
30.01.2016 00:00:00.000,9.29524,9.29524,9.29524,9.29524,0
31.01.2016 00:00:00.000,9.30491,9.31094,9.29844,9.30364,1137.14
01.02.2016 00:00:00.000,9.30374,9.30924,9.26476,9.29583,106138.3281
02.02.2016 00:00:00.000,9.29595,9.36699,9.29079,9.34134,99760.3828
03.02.2016 00:00:00.000,9.34124,9.39365,9.32553,9.36754,83443.9063
04.02.2016 00:00:00.000,9.36714,9.42603,9.35334,9.41014,72604.7109
05.02.2016 00:00:00.000,9.41015,9.45301,9.38889,9.44804,70541.0938
06.02.2016 00:00:00.000,9.44804,9.44804,9.44804,9.44804,0
07.02.2016 00:00:00.000,9.44231,9.45338,9.43544,9.43814,2338.6201
08.02.2016 00:00:00.000,9.43804,9.46972,9.40100,9.45734,65802.6484
