Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,2.15981,2.15981,2.15981,2.15981,0
02.01.2016 00:00:00.000,2.15981,2.15981,2.15981,2.15981,0
03.01.2016 00:00:00.000,2.15839,2.16079,2.15585,2.15845,5935.25
04.01.2016 00:00:00.000,2.15839,2.19327,2.15742,2.18229,117173.0313
05.01.2016 00:00:00.000,2.18231,2.19813,2.17826,2.19115,109720.6016
06.01.2016 00:00:00.000,2.19113,2.21155,2.19045,2.20329,140810.6719
07.01.2016 00:00:00.000,2.20318,2.21286,2.18878,2.20814,148659.875
08.01.2016 00:00:00.000,2.20820,2.22735,2.18941,2.22080,130089.2578
09.01.2016 00:00:00.000,2.22080,2.22080,2.22080,2.22080,0
10.01.2016 00:00:00.000,2.22009,2.23423,2.21978,2.22974,8040.7202
11.01.2016 00:00:00.000,2.22968,2.23208,2.21268,2.21933,145620.0156
12.01.2016 00:00:00.000,2.21937,2.22757,2.19866,2.20808,138390.9063
13.01.2016 00:00:00.000,2.20809,2.22659,2.19206,2.22289,131801.6406
14.01.2016 00:00:00.000,2.22289,2.24359,2.21457,2.22241,161399.9063
15.01.2016 00:00:00.000,2.22241,2.24747,2.20352,2.20745,148688.8438
16.01.2016 00:00:00.000,2.20745,2.20745,2.20745,2.20745,0
17.01.2016 00:00:00.000,2.22050,2.22152,2.21353,2.21630,7069.4902
18.01.2016 00:00:00.000,2.21630,2.21843,2.20361,2.20974,129743.6797
19.01.2016 00:00:00.000,2.20970,2.22029,2.17887,2.21738,165029.3906
20.01.2016 00:00:00.000,2.21730,2.23164,2.19279,2.19569,191734.125
21.01.2016 00:00:00.000,2.19568,2.21100,2.16961,2.17506,185229.5469
22.01.2016 00:00:00.000,2.17500,2.21270,2.17187,2.19996,143702.2031
23.01.2016 00:00:00.000,2.19996,2.19996,2.19996,2.19996,0
24.01.2016 00:00:00.000,2.19915,2.20524,2.19811,2.20374,8460.7197
25.01.2016 00:00:00.000,2.20377,2.21212,2.19049,2.21198,136563.4531
26.01.2016 00:00:00.000,2.21198,2.21309,2.19576,2.20368,128200.2188
27.01.2016 00:00:00.000,2.20362,2.22060,2.18316,2.21737,163328.3125
28.01.2016 00:00:00.000,2.21745,2.22937,2.20266,2.21704,143203.1719
29.01.2016 00:00:00.000,2.21701,2.22159,2.18598,2.20017,159295.375
30.01.2016 00:00:00.000,2.20017,2.20017,2.20017,2.20017,0
31.01.2016 00:00:00.000,2.19766,2.20394,2.19628,2.20166,8919.4297
01.02.2016 00:00:00.000,2.20173,2.21679,2.19948,2.20428,140100.6719
02.02.2016 00:00:00.000,2.20418,2.22868,2.20166,2.21175,152147.8594
03.02.2016 00:00:00.000,2.21172,2.21414,2.18109,2.19469,181150.0781
04.02.2016 00:00:00.000,2.19479,2.19479,2.16306,2.16844,165879.0156
05.02.2016 00:00:00.000,2.16846,2.19093,2.15928,2.19009,141690.9688
06.02.2016 00:00:00.000,2.19009,2.19009,2.19009,2.19009,0
07.02.2016 00:00:00.000,2.19098,2.19338,2.18588,2.18972,9438.79
08.02.2016 00:00:00.000,2.18968,2.19236,2.17096,2.18232,171030.2031
09.02.2016 00:00:00.000,2.18230,2.19527,2.16587,2.17758,202683.0781
10.02.2016 00:00:00.000,2.17758,2.19051,2.16817,2.17359,197570.8281
11.02.2016 00:00:00.000,2.17358,2.19036,2.14913,2.15809,216321.75
12.02.2016 00:00:00.000,2.15799,2.19506,2.15777,2.19086,167727.6094
13.02.2016 00:00:00.000,2.19086,2.19086,2.19086,2.19086,0
14.02.2016 00:00:00.000,2.19473,2.19473,2.18649,2.18788,10557.1699
15.02.2016 00:00:00.000,2.18785,2.19149,2.16677,2.17419,164475.0313
16.02.2016 00:00:00.000,2.17418,2.20056,2.16451,2.17397,184349.5938
17.02.2016 00:00:00.000,2.17399,2.18167,2.15024,2.15485,187123.8281
18.02.2016 00:00:00.000,2.15493,2.17396,2.14536,2.15865,179377.2188
19.02.2016 00:00:00.000,2.15876,2.17616,2.15406,2.17308,161965.9844
20.02.2016 00:00:00.000,2.17308,2.17308,2.17308,2.17308,0
21.02.2016 00:00:00.000,2.14819,2.15823,2.14788,2.15359,12712.6699
22.02.2016 00:00:00.000,2.15369,2.15699,2.09701,2.10867,187705.4844
23.02.2016 00:00:00.000,2.10867,2.11807,2.09846,2.11068,176083.8906
24.02.2016 00:00:00.000,2.11068,2.11726,2.08767,2.09059,183732.1563
25.02.2016 00:00:00.000,2.09076,2.09978,2.06718,2.07037,164745.4688
26.02.2016 00:00:00.000,2.07037,2.09550,2.06318,2.09464,150653.1094
27.02.2016 00:00:00.000,2.09464,2.09464,2.09464,2.09464,0
28.02.2016 00:00:00.000,2.10439,2.10720,2.10069,2.10396,14022.7402
29.02.2016 00:00:00.000,2.10397,2.11607,2.09538,2.10971,165169.0625
01.03.2016 00:00:00.000,2.10971,2.12267,2.09858,2.10366,173636.0938
02.03.2016 00:00:00.000,2.10372,2.12587,2.09657,2.11373,173845.6875
03.03.2016 00:00:00.000,2.11378,2.11530,2.09417,2.10819,163697.4844
04.03.2016 00:00:00.000,2.10819,2.10889,2.08416,2.08854,146205.5
05.03.2016 00:00:00.000,2.08854,2.08854,2.08854,2.08854,0
06.03.2016 00:00:00.000,2.09319,2.09622,2.09117,2.09476,10690.5195
07.03.2016 00:00:00.000,2.09476,2.10719,2.08666,2.10276,136721.8438
08.03.2016 00:00:00.000,2.10276,2.11182,2.09667,2.10759,152781.9531
09.03.2016 00:00:00.000,2.10761,2.14395,2.08896,2.14086,156877.5938
10.03.2016 00:00:00.000,2.14097,2.15112,2.11866,2.13776,208816.9844
11.03.2016 00:00:00.000,2.13776,2.14221,2.12466,2.13334,148769.7656
