Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,1.06825,1.06825,1.06825,1.06825,0
02.01.2016 00:00:00.000,1.06825,1.06825,1.06825,1.06825,0
03.01.2016 00:00:00.000,1.06778,1.06876,1.06610,1.06701,6209.2998
04.01.2016 00:00:00.000,1.06701,1.07114,1.06226,1.06549,82588.4375
05.01.2016 00:00:00.000,1.06549,1.07196,1.06500,1.06908,85546.6875
06.01.2016 00:00:00.000,1.06908,1.07310,1.06266,1.06610,115589.8438
07.01.2016 00:00:00.000,1.06610,1.06614,1.05399,1.05899,123704.2578
08.01.2016 00:00:00.000,1.05894,1.06653,1.05760,1.06282,100060.6094
09.01.2016 00:00:00.000,1.06282,1.06282,1.06282,1.06282,0
10.01.2016 00:00:00.000,1.06391,1.06536,1.06141,1.06496,7101.2202
11.01.2016 00:00:00.000,1.06496,1.07011,1.06422,1.06615,118990.6875
12.01.2016 00:00:00.000,1.06615,1.07204,1.06250,1.06820,123654.3828
13.01.2016 00:00:00.000,1.06820,1.07279,1.06556,1.06982,116981.0313
14.01.2016 00:00:00.000,1.06982,1.08014,1.06867,1.07785,137535.4688
15.01.2016 00:00:00.000,1.07785,1.08115,1.06137,1.06189,131907.8281
16.01.2016 00:00:00.000,1.06189,1.06189,1.06189,1.06189,0
17.01.2016 00:00:00.000,1.06736,1.06737,1.06402,1.06489,7332.6001
18.01.2016 00:00:00.000,1.06488,1.06979,1.06331,1.06566,107857.0938
19.01.2016 00:00:00.000,1.06566,1.08120,1.06497,1.08074,141632.8281
20.01.2016 00:00:00.000,1.08072,1.08419,1.07030,1.07325,184688.7813
21.01.2016 00:00:00.000,1.07327,1.07778,1.06891,1.07253,184720.8125
22.01.2016 00:00:00.000,1.07258,1.08376,1.07165,1.08021,123622.3281
23.01.2016 00:00:00.000,1.08021,1.08021,1.08021,1.08021,0
24.01.2016 00:00:00.000,1.07970,1.08333,1.07899,1.08212,7539.7402
25.01.2016 00:00:00.000,1.08213,1.08243,1.07395,1.07758,133086.6406
26.01.2016 00:00:00.000,1.07756,1.08157,1.07534,1.07610,140674.2813
27.01.2016 00:00:00.000,1.07610,1.09389,1.07522,1.09108,160659.9375
28.01.2016 00:00:00.000,1.09111,1.09700,1.09016,1.09347,143659.1563
29.01.2016 00:00:00.000,1.09347,1.09757,1.08999,1.09296,152356.0313
30.01.2016 00:00:00.000,1.09296,1.09296,1.09296,1.09296,0
31.01.2016 00:00:00.000,1.09205,1.09383,1.09146,1.09247,7947.8398
01.02.2016 00:00:00.000,1.09253,1.09473,1.08430,1.08608,128024.8594
02.02.2016 00:00:00.000,1.08608,1.09077,1.07740,1.07848,133898.0625
03.02.2016 00:00:00.000,1.07844,1.07958,1.06520,1.07680,145133.5625
04.02.2016 00:00:00.000,1.07678,1.07907,1.06927,1.07059,138713.1563
05.02.2016 00:00:00.000,1.07059,1.07479,1.06561,1.06715,111702.0625
06.02.2016 00:00:00.000,1.06715,1.06715,1.06715,1.06715,0
07.02.2016 00:00:00.000,1.06847,1.06989,1.06817,1.06917,9775.4805
08.02.2016 00:00:00.000,1.06917,1.07190,1.06652,1.06954,121294.5234
09.02.2016 00:00:00.000,1.06953,1.06959,1.05912,1.06366,144762.9375
10.02.2016 00:00:00.000,1.06366,1.06893,1.06128,1.06301,152378.4375
11.02.2016 00:00:00.000,1.06301,1.06642,1.05737,1.06172,179692.7969
12.02.2016 00:00:00.000,1.06172,1.07428,1.06033,1.07297,129515.3672
13.02.2016 00:00:00.000,1.07297,1.07297,1.07297,1.07297,0
14.02.2016 00:00:00.000,1.07471,1.07486,1.07195,1.07213,6883.0898
15.02.2016 00:00:00.000,1.07210,1.07668,1.07119,1.07490,130437.6563
16.02.2016 00:00:00.000,1.07493,1.08751,1.07353,1.08176,133727.4219
17.02.2016 00:00:00.000,1.08176,1.08383,1.07775,1.08227,128757.8672
18.02.2016 00:00:00.000,1.08229,1.08362,1.07445,1.07700,119386.2422
19.02.2016 00:00:00.000,1.07699,1.07858,1.07246,1.07847,100934.1328
20.02.2016 00:00:00.000,1.07847,1.07847,1.07847,1.07847,0
21.02.2016 00:00:00.000,1.07677,1.07849,1.07505,1.07845,6780.9902
22.02.2016 00:00:00.000,1.07844,1.07991,1.07506,1.07765,117492.1328
23.02.2016 00:00:00.000,1.07765,1.08500,1.07761,1.08419,113613.7422
24.02.2016 00:00:00.000,1.08418,1.08759,1.07918,1.07938,119615.0781
25.02.2016 00:00:00.000,1.07939,1.08165,1.07149,1.07241,116590.0234
26.02.2016 00:00:00.000,1.07250,1.07683,1.06726,1.07550,104934.2891
27.02.2016 00:00:00.000,1.07550,1.07550,1.07550,1.07550,0
