Gmt time,Open,High,Low,Close,Volume
01.01.2016 00:00:00.000,130.553,130.553,130.553,130.553,0
02.01.2016 00:00:00.000,130.553,130.553,130.553,130.553,0
03.01.2016 00:00:00.000,130.744,130.787,130.489,130.579,9484.3604
04.01.2016 00:00:00.000,130.580,130.655,128.681,129.321,214373.3594
05.01.2016 00:00:00.000,129.322,129.478,127.525,128.058,238149.7344
06.01.2016 00:00:00.000,128.054,128.077,127.025,127.839,257173.4375
07.01.2016 00:00:00.000,127.839,128.667,126.791,128.413,293143.4688
08.01.2016 00:00:00.000,128.421,129.096,128.089,128.155,275407.5938
09.01.2016 00:00:00.000,128.155,128.155,128.155,128.155,0
10.01.2016 00:00:00.000,128.026,128.344,127.654,128.042,18848.2207
11.01.2016 00:00:00.000,128.043,128.472,127.314,127.770,276673.4375
12.01.2016 00:00:00.000,127.770,128.010,127.462,127.780,272548
13.01.2016 00:00:00.000,127.780,128.548,127.640,127.824,283051.5625
14.01.2016 00:00:00.000,127.825,128.758,127.751,128.369,317997.625
15.01.2016 00:00:00.000,128.368,128.406,127.608,127.783,321941.875
16.01.2016 00:00:00.000,127.783,127.783,127.783,127.783,0
17.01.2016 00:00:00.000,127.612,127.825,127.493,127.754,12071.6396
18.01.2016 00:00:00.000,127.750,127.950,127.357,127.890,229955.2344
19.01.2016 00:00:00.000,127.888,128.561,127.792,128.282,296710
20.01.2016 00:00:00.000,128.278,128.351,126.633,127.458,353348.625
21.01.2016 00:00:00.000,127.458,128.201,126.175,128.056,396221.0313
22.01.2016 00:00:00.000,128.055,128.436,127.424,128.303,313949.1875
23.01.2016 00:00:00.000,128.303,128.303,128.303,128.303,0
24.01.2016 00:00:00.000,128.097,128.239,128.020,128.024,11609.7998
25.01.2016 00:00:00.000,128.024,128.550,127.862,128.323,308697.2188
26.01.2016 00:00:00.000,128.318,128.744,127.826,128.595,278543.875
27.01.2016 00:00:00.000,128.595,129.492,128.256,129.174,304497.9063
28.01.2016 00:00:00.000,129.174,130.224,128.951,130.058,291396.6563
29.01.2016 00:00:00.000,130.060,132.431,129.569,131.231,313606.5625
30.01.2016 00:00:00.000,131.231,131.231,131.231,131.231,0
31.01.2016 00:00:00.000,131.467,131.490,131.267,131.377,15046.7197
01.02.2016 00:00:00.000,131.375,132.030,131.262,131.690,312607.2188
02.02.2016 00:00:00.000,131.690,131.976,130.790,130.869,325536.875
03.02.2016 00:00:00.000,130.869,131.086,130.056,131.085,370299.8125
04.02.2016 00:00:00.000,131.085,131.661,130.647,130.880,362102.5
05.02.2016 00:00:00.000,130.879,131.107,130.165,130.412,320953.9375
06.02.2016 00:00:00.000,130.412,130.412,130.412,130.412,0
07.02.2016 00:00:00.000,130.233,130.412,130.218,130.341,16569.9492
08.02.2016 00:00:00.000,130.339,130.909,128.766,129.432,335084
09.02.2016 00:00:00.000,129.431,130.272,128.282,130.045,407963.3125
10.02.2016 00:00:00.000,130.045,130.079,127.710,127.791,420040.3438
11.02.2016 00:00:00.000,127.789,127.978,125.784,127.311,399459.625
12.02.2016 00:00:00.000,127.307,127.659,126.382,127.457,369743.2188
13.02.2016 00:00:00.000,127.457,127.457,127.457,127.457,0
14.02.2016 00:00:00.000,127.467,127.654,127.405,127.600,15033.6396
15.02.2016 00:00:00.000,127.598,127.965,127.260,127.814,307200
16.02.2016 00:00:00.000,127.812,128.178,126.624,127.191,335281.5313
17.02.2016 00:00:00.000,127.190,127.402,126.635,127.111,336388.625
18.02.2016 00:00:00.000,127.110,127.146,125.598,125.801,321836.4063
19.02.2016 00:00:00.000,125.801,125.904,125.020,125.355,290181.5
20.02.2016 00:00:00.000,125.355,125.355,125.355,125.355,0
21.02.2016 00:00:00.000,125.108,125.314,125.057,125.159,14438.4199
22.02.2016 00:00:00.000,125.162,125.568,124.371,124.546,285805.0938
23.02.2016 00:00:00.000,124.544,124.588,123.073,123.370,305185.2188
24.02.2016 00:00:00.000,123.371,123.625,122.461,123.442,315514.5938
25.02.2016 00:00:00.000,123.442,124.742,123.309,124.730,317669.9688
26.02.2016 00:00:00.000,124.728,125.010,124.223,124.633,283737.9063
27.02.2016 00:00:00.000,124.633,124.633,124.633,124.633,0
28.02.2016 00:00:00.000,124.429,124.494,124.016,124.240,13322.5703
29.02.2016 00:00:00.000,124.240,124.381,122.101,122.378,305998.4688
01.03.2016 00:00:00.000,122.378,124.085,122.116,123.909,299803.5313
